RENT_DT,USE_CNT
2024-11-04,153220
2024-11-05,145620
2024-11-06,138896
2024-11-07,140419
2024-11-08,146625
2024-11-09,125840
2024-11-10,115684
2024-11-11,155307
2024-11-12,158282
2024-11-13,162962
2024-11-14,137465
2024-11-15,158829
2024-11-16,80370
2024-11-17,78601
2024-11-18,109664
2024-11-19,124648
2024-11-20,124089
2024-11-21,127456
2024-11-22,127408
2024-11-23,95075
2024-11-24,85897
2024-11-25,130573
2024-11-26,35379
2024-11-27,20902
2024-11-28,42954
2024-11-29,73901
2024-11-30,57419
2024-12-01,58682
2024-12-02,100402
2024-12-03,94706
2024-12-04,97362
2024-12-05,83581
2024-12-06,92777
2024-12-07,66498
2024-12-08,50136
2024-12-09,89574
2024-12-10,95363
2024-12-11,98559
2024-12-12,91964
2024-12-13,89559
2024-12-14,64501
2024-12-15,51238
2024-12-16,78056
2024-12-17,83410
2024-12-18,76127
2024-12-19,79353
2024-12-20,80200
2024-12-21,39452
2024-12-22,37978
2024-12-23,76138
2024-12-24,77776
2024-12-25,45243
2024-12-26,69106
2024-12-27,68320
2024-12-28,45723
2024-12-29,43608
2024-12-30,79477
2024-12-31,72939
2025-01-01,48639
2025-01-02,77709
2025-01-03,77046
2025-01-04,56590
2025-01-05,19711
2025-01-06,62519
2025-01-07,68396
2025-01-08,66707
2025-01-09,47963
2025-01-10,54563
2025-01-11,42547
2025-01-12,38305
2025-01-13,50939
2025-01-14,61048
2025-01-15,64297
2025-01-16,68289
2025-01-17,73506
2025-01-18,56924
2025-01-19,51394
2025-01-20,76898
2025-01-21,76557
2025-01-22,80515
2025-01-23,81294
2025-01-24,85262
2025-01-25,63693
2025-01-26,49381
2025-01-27,16744
2025-01-28,15070
2025-01-29,16396
2025-01-30,28782
2025-01-31,26433
2025-02-01,42900
2025-02-02,47224
2025-02-03,58096
2025-02-04,49323
2025-02-05,50827
2025-02-06,37900
2025-02-07,25537
2025-02-08,29052
2025-02-09,30720
2025-02-10,59298
2025-02-11,70882
2025-02-12,35466
2025-02-13,68731
2025-02-14,79241
2025-02-15,60406
2025-02-16,53209
2025-02-17,68686
2025-02-18,66559
2025-02-19,65341
2025-02-20,65449
2025-02-21,66488
2025-02-22,49411
2025-02-23,37830
2025-02-24,68740
2025-02-25,75269
2025-02-26,81377
2025-02-27,91202
2025-02-28,47221
2025-03-01,58921
2025-03-02,32851
2025-03-03,45444
2025-03-04,52214
2025-03-05,89885
2025-03-06,95222
2025-03-07,98679
2025-03-08,81479
2025-03-09,80197
2025-03-10,103846
2025-03-11,111512
2025-03-12,99718
2025-03-13,110367
2025-03-14,125129
2025-03-15,109746
2025-03-16,50203
2025-03-17,90117
2025-03-18,58999
2025-03-19,93998
2025-03-20,109733
2025-03-21,120512
2025-03-22,115084
2025-03-23,115859
2025-03-24,127282
2025-03-25,115456
2025-03-26,134700
2025-03-27,101742
2025-03-28,112105
2025-03-29,63569
2025-03-30,57013
2025-03-31,115322
2025-04-01,128599
2025-04-02,113270
2025-04-03,127763
2025-04-04,130771
2025-04-05,17053
2025-04-06,104881
2025-04-07,139288
2025-04-08,147585
2025-04-09,124364
2025-04-10,149693
2025-04-11,167343
2025-04-12,53027
2025-04-13,41925
2025-04-14,41889
2025-04-15,124284
2025-04-16,148385
2025-04-17,152474
2025-04-18,154988
2025-04-19,41988
2025-04-20,136745
2025-04-21,158263
2025-04-22,45307
2025-04-23,158598
2025-04-24,150523
2025-04-25,148019
2025-04-26,133576
2025-04-27,116046
2025-04-28,151257
2025-04-29,157192
2025-04-30,165631
2025-05-01,53546
2025-05-02,144932
2025-05-03,62746
2025-05-04,111340
2025-05-05,88946
2025-05-06,121891
2025-05-07,153648
2025-05-08,160258
2025-05-09,24263
2025-05-10,27823
2025-05-11,118903
2025-05-12,157203
2025-05-13,162770
2025-05-14,165177
2025-05-15,113325
2025-05-16,40766
2025-05-17,88198
2025-05-18,134941
2025-05-19,118346
2025-05-20,144464
2025-05-21,157490
2025-05-22,149233
2025-05-23,137430
2025-05-24,113916
2025-05-25,137711
2025-05-26,160643
2025-05-27,163259
2025-05-28,162825
2025-05-29,164642
2025-05-30,173914
2025-05-31,144789
2025-06-01,130285
2025-06-02,148773
2025-06-03,154910
2025-06-04,167578
2025-06-05,172650
2025-06-06,137914
2025-06-07,135697
2025-06-08,122267
2025-06-09,161721
2025-06-10,169011
2025-06-11,168452
2025-06-12,164821
2025-06-13,115906
2025-06-14,131389
2025-06-15,88162
2025-06-16,111001
2025-06-17,164921
2025-06-18,165123
2025-06-19,156768
2025-06-20,13179
2025-06-21,108852
2025-06-22,124126
2025-06-23,159484
2025-06-24,136676
2025-06-25,51322
2025-06-26,146464
2025-06-27,154648
2025-06-28,100480
2025-06-29,111429
2025-06-30,150277
2025-07-01,132912
2025-07-02,151651
2025-07-03,151091
2025-07-04,151365
2025-07-05,118353
2025-07-06,106785
2025-07-07,146663
2025-07-08,115370
2025-07-09,136302
2025-07-10,139732
2025-07-11,144181
2025-07-12,109929
2025-07-13,90889
2025-07-14,67420
2025-07-15,109498
2025-07-16,51408
2025-07-17,30839
2025-07-18,83541
2025-07-19,37126
2025-07-20,90404
2025-07-21,140597
2025-07-22,143954
2025-07-23,144386
2025-07-24,138903
2025-07-25,130671
2025-07-26,92788
2025-07-27,79637
2025-07-28,119819
2025-07-29,122990
2025-07-30,126207
2025-07-31,130746
2025-08-01,125616
2025-08-02,96593
2025-08-03,71584
2025-08-04,121342
2025-08-05,138013
2025-08-06,85551
2025-08-07,138007
2025-08-08,141953
2025-08-09,101048
2025-08-10,106668
2025-08-11,148096
2025-08-12,148459
2025-08-13,26358
2025-08-14,80291
2025-08-15,91507
2025-08-16,108987
2025-08-17,104200
2025-08-18,108971
2025-08-19,140132
2025-08-20,142190
2025-08-21,141944
2025-08-22,141080
2025-08-23,114416
2025-08-24,98956
2025-08-25,112100
2025-08-26,119255
2025-08-27,148793
2025-08-28,148650
2025-08-29,110681
2025-08-30,94645
2025-08-31,103141
2025-09-01,89505
2025-09-02,154041
2025-09-03,155136
2025-09-04,99884
2025-09-05,152732
2025-09-06,57072
2025-09-07,116306
2025-09-08,152238
2025-09-09,165309
2025-09-10,165849
2025-09-11,166211
2025-09-12,106260
2025-09-13,113754
2025-09-14,134623
2025-09-15,165343
2025-09-16,107806
2025-09-17,84085
2025-09-18,168435
2025-09-19,62548
2025-09-20,112489
2025-09-21,146259
2025-09-22,169397
2025-09-23,173585
2025-09-24,69984
2025-09-25,157347
2025-09-26,176011
2025-09-27,153156
2025-09-28,77624
2025-09-29,168318
2025-09-30,170955
2025-10-01,169645
2025-10-02,175021
2025-10-03,89958
2025-10-04,113200
2025-10-05,53622
2025-10-06,10493
2025-10-07,26673
2025-10-08,126692
2025-10-09,113031
2025-10-10,13939
2025-10-11,55776
2025-10-12,108469
2025-10-13,28941
2025-10-14,130812
2025-10-15,119884
2025-10-16,152149
2025-10-17,112544
2025-10-18,99434
2025-10-19,116009
2025-10-20,131382
2025-10-21,134707
2025-10-22,145055
2025-10-23,151467
2025-10-24,154754
2025-10-25,124942
2025-10-26,82071
2025-10-27,119997
2025-10-28,127462
2025-10-29,137699
2025-10-30,140129
2025-10-31,141807
2025-11-01,94090
2025-11-02,78413
2025-11-03,117514
2025-11-04,131250
2025-11-05,137250
2025-11-06,138404
2025-11-07,141345
2025-11-08,109656
2025-11-09,96346
2025-11-10,119499
2025-11-11,128960
2025-11-12,134781
2025-11-13,130926
2025-11-14,126744
2025-11-15,100268
2025-11-16,86122
2025-11-17,94202
2025-11-18,96573
2025-11-19,103020
2025-11-20,111930
2025-11-21,112820
2025-11-22,90719
2025-11-23,80048
2025-11-24,118617
2025-11-25,72261
2025-11-26,113310
2025-11-27,66248
2025-11-28,99551
2025-11-29,75838
2025-11-30,80210
2025-12-01,101498
2025-12-02,85747
2025-12-03,68173
2025-12-04,56809
2025-12-05,35921
2025-12-06,40497
2025-12-07,56846
2025-12-08,85128
2025-12-09,90395
2025-12-10,95042
2025-12-11,71945
2025-12-12,86950
2025-12-13,19152
2025-12-14,43136
2025-12-15,80403
2025-12-16,48592
2025-12-17,84960
2025-12-18,87556
2025-12-19,91581
2025-12-20,46467
2025-12-21,45073
2025-12-22,76797
2025-12-23,38687
2025-12-24,73410
2025-12-25,32281
2025-12-26,45681
2025-12-27,42381
2025-12-28,40774
2025-12-29,66651
2025-12-30,71025
2025-12-31,55569
